Installed distributed generation trends

From www.emi.ea.govt.nz provided by the Electricity Authority (New Zealand)
Run at: 20260817112615

Parameters
Date range,01 Sep 2013 - 31 Jul 2026
Region type,New Zealand
Market segment,Residential
Capacity,All combined
Fuel type,Solar (all)

Month end,Region ID,Region name,Capacity,Fuel type,ICP count,ICP uptake rate (%),Total capacity installed (MW),Avg. capacity installed (kW),ICP count - new installations,Avg. capacity - new installations (kW)
31/08/2013,NZ,New Zealand,All combined,Solar (All),1287,0.07495,4.777,3.711,472,3.745
30/09/2013,NZ,New Zealand,All combined,Solar (All),1521,0.08869,5.570,3.662,219,3.349
31/10/2013,NZ,New Zealand,All combined,Solar (All),1684,0.09821,6.112,3.629,160,3.314
30/11/2013,NZ,New Zealand,All combined,Solar (All),1910,0.11138,6.939,3.633,224,3.627
31/12/2013,NZ,New Zealand,All combined,Solar (All),2081,0.12122,7.493,3.601,173,3.364
31/01/2014,NZ,New Zealand,All combined,Solar (All),2253,0.13113,8.067,3.581,172,3.580
28/02/2014,NZ,New Zealand,All combined,Solar (All),2515,0.14629,8.930,3.551,264,3.289
31/03/2014,NZ,New Zealand,All combined,Solar (All),2753,0.16000,9.761,3.546,240,3.603
30/04/2014,NZ,New Zealand,All combined,Solar (All),2946,0.17107,10.488,3.560,195,3.716
31/05/2014,NZ,New Zealand,All combined,Solar (All),3167,0.18373,11.272,3.559,217,3.680
30/06/2014,NZ,New Zealand,All combined,Solar (All),3444,0.19957,12.261,3.560,276,3.591
31/07/2014,NZ,New Zealand,All combined,Solar (All),3752,0.21729,13.383,3.567,312,3.615
31/08/2014,NZ,New Zealand,All combined,Solar (All),3996,0.23114,14.324,3.585,240,3.898
30/09/2014,NZ,New Zealand,All combined,Solar (All),4252,0.24565,15.309,3.600,257,3.820
31/10/2014,NZ,New Zealand,All combined,Solar (All),4563,0.26248,16.449,3.605,304,3.698
30/11/2014,NZ,New Zealand,All combined,Solar (All),4885,0.28075,17.613,3.606,316,3.538
31/12/2014,NZ,New Zealand,All combined,Solar (All),5179,0.29740,18.683,3.607,290,3.508
31/01/2015,NZ,New Zealand,All combined,Solar (All),5424,0.31101,19.581,3.610,238,3.643
28/02/2015,NZ,New Zealand,All combined,Solar (All),5653,0.32395,20.399,3.608,231,3.568
31/03/2015,NZ,New Zealand,All combined,Solar (All),5914,0.33865,21.311,3.603,263,3.401
30/04/2015,NZ,New Zealand,All combined,Solar (All),6178,0.35341,22.160,3.587,262,3.197
31/05/2015,NZ,New Zealand,All combined,Solar (All),6420,0.36708,22.950,3.575,247,3.352
30/06/2015,NZ,New Zealand,All combined,Solar (All),6754,0.38594,24.021,3.557,334,3.177
31/07/2015,NZ,New Zealand,All combined,Solar (All),7158,0.40863,25.417,3.551,401,3.428
31/08/2015,NZ,New Zealand,All combined,Solar (All),7468,0.42596,26.686,3.573,307,4.047
30/09/2015,NZ,New Zealand,All combined,Solar (All),7863,0.44805,28.049,3.567,387,4.029
31/10/2015,NZ,New Zealand,All combined,Solar (All),8195,0.46644,29.049,3.545,329,3.640
30/11/2015,NZ,New Zealand,All combined,Solar (All),8573,0.48684,30.295,3.534,365,3.350
31/12/2015,NZ,New Zealand,All combined,Solar (All),8972,0.50945,31.689,3.532,399,3.487
31/01/2016,NZ,New Zealand,All combined,Solar (All),9221,0.52404,32.477,3.522,253,3.201
29/02/2016,NZ,New Zealand,All combined,Solar (All),9543,0.54190,33.499,3.510,325,3.239
31/03/2016,NZ,New Zealand,All combined,Solar (All),9868,0.56049,34.580,3.504,319,3.283
30/04/2016,NZ,New Zealand,All combined,Solar (All),10201,0.57875,35.670,3.497,330,3.257
31/05/2016,NZ,New Zealand,All combined,Solar (All),10554,0.59832,36.843,3.491,353,3.341
30/06/2016,NZ,New Zealand,All combined,Solar (All),10915,0.61849,38.019,3.483,363,3.231
31/07/2016,NZ,New Zealand,All combined,Solar (All),11269,0.63699,39.195,3.478,344,3.247
31/08/2016,NZ,New Zealand,All combined,Solar (All),11645,0.65775,40.429,3.472,376,3.258
30/09/2016,NZ,New Zealand,All combined,Solar (All),12008,0.67759,41.620,3.466,376,3.297
31/10/2016,NZ,New Zealand,All combined,Solar (All),12334,0.69532,42.727,3.464,325,3.347
30/11/2016,NZ,New Zealand,All combined,Solar (All),12695,0.71509,43.951,3.462,364,3.367
31/12/2016,NZ,New Zealand,All combined,Solar (All),13028,0.73254,45.134,3.464,334,3.499
31/01/2017,NZ,New Zealand,All combined,Solar (All),13264,0.74569,45.910,3.461,238,3.253
28/02/2017,NZ,New Zealand,All combined,Solar (All),13579,0.76181,46.925,3.456,291,3.293
31/03/2017,NZ,New Zealand,All combined,Solar (All),13919,0.78010,48.070,3.454,318,3.297
30/04/2017,NZ,New Zealand,All combined,Solar (All),14228,0.79680,49.101,3.451,316,3.280
31/05/2017,NZ,New Zealand,All combined,Solar (All),14547,0.81403,50.143,3.447,323,3.184
30/06/2017,NZ,New Zealand,All combined,Solar (All),14956,0.83591,51.367,3.435,410,2.951
31/07/2017,NZ,New Zealand,All combined,Solar (All),15310,0.85473,52.712,3.443,362,3.769
31/08/2017,NZ,New Zealand,All combined,Solar (All),15787,0.88054,54.272,3.438,487,3.220
30/09/2017,NZ,New Zealand,All combined,Solar (All),16177,0.90126,55.590,3.436,392,3.322
31/10/2017,NZ,New Zealand,All combined,Solar (All),16503,0.91821,56.743,3.438,335,3.453
30/11/2017,NZ,New Zealand,All combined,Solar (All),16938,0.94211,58.311,3.443,437,3.493
31/12/2017,NZ,New Zealand,All combined,Solar (All),17278,0.95945,59.523,3.445,344,3.542
31/01/2018,NZ,New Zealand,All combined,Solar (All),17551,0.97462,60.481,3.446,285,3.486
28/02/2018,NZ,New Zealand,All combined,Solar (All),17896,0.99252,61.715,3.449,345,3.540
31/03/2018,NZ,New Zealand,All combined,Solar (All),18300,1.01449,63.100,3.448,391,3.346
