month_end,icp_count,icp_uptake_rate_pct,installed_capacity_mw,average_capacity_kw,new_installations,average_new_install_capacity_kw
2013-08-31,1287,0.07495,4.777,3.711,472,3.745
2013-09-30,1521,0.08869,5.57,3.662,219,3.349
2013-10-31,1684,0.09821,6.112,3.629,160,3.314
2013-11-30,1910,0.11138,6.939,3.633,224,3.627
2013-12-31,2081,0.12122,7.493,3.601,173,3.364
2014-01-31,2253,0.13113,8.067,3.581,172,3.58
2014-02-28,2515,0.14629,8.93,3.551,264,3.289
2014-03-31,2753,0.16,9.761,3.546,240,3.603
2014-04-30,2946,0.17107,10.488,3.56,195,3.716
2014-05-31,3167,0.18373,11.272,3.559,217,3.68
2014-06-30,3444,0.19957,12.261,3.56,276,3.591
2014-07-31,3752,0.21729,13.383,3.567,312,3.615
2014-08-31,3996,0.23114,14.324,3.585,240,3.898
2014-09-30,4252,0.24565,15.309,3.6,257,3.82
2014-10-31,4563,0.26248,16.449,3.605,304,3.698
2014-11-30,4885,0.28075,17.613,3.606,316,3.538
2014-12-31,5180,0.29745,18.684,3.607,291,3.501
2015-01-31,5425,0.31107,19.583,3.61,238,3.643
2015-02-28,5654,0.324,20.4,3.608,231,3.568
2015-03-31,5915,0.33871,21.312,3.603,263,3.401
2015-04-30,6179,0.35347,22.161,3.587,262,3.197
2015-05-31,6421,0.36714,22.952,3.574,247,3.352
2015-06-30,6755,0.386,24.022,3.556,334,3.177
2015-07-31,7159,0.40869,25.418,3.551,401,3.428
2015-08-31,7469,0.42602,26.688,3.573,307,4.047
2015-09-30,7864,0.44811,28.05,3.567,387,4.029
2015-10-31,8196,0.4665,29.05,3.544,329,3.64
2015-11-30,8574,0.4869,30.296,3.534,365,3.35
2015-12-31,8973,0.5095,31.69,3.532,399,3.487
2016-01-31,9222,0.52409,32.478,3.522,253,3.201
2016-02-29,9544,0.54196,33.501,3.51,325,3.239
2016-03-31,9869,0.56055,34.582,3.504,319,3.283
2016-04-30,10202,0.5788,35.671,3.496,330,3.257
2016-05-31,10555,0.59838,36.845,3.491,353,3.341
2016-06-30,10916,0.61855,38.02,3.483,363,3.231
2016-07-31,11270,0.63705,39.196,3.478,344,3.247
2016-08-31,11646,0.65781,40.431,3.472,376,3.258
2016-09-30,12009,0.67764,41.621,3.466,376,3.297
2016-10-31,12335,0.69538,42.729,3.464,325,3.347
2016-11-30,12696,0.71515,43.953,3.462,364,3.367
2016-12-31,13029,0.7326,45.135,3.464,334,3.499
2017-01-31,13265,0.74575,45.912,3.461,238,3.253
2017-02-28,13580,0.76186,46.926,3.456,291,3.293
2017-03-31,13920,0.78016,48.072,3.453,318,3.297
2017-04-30,14229,0.79685,49.102,3.451,316,3.28
2017-05-31,14548,0.81409,50.144,3.447,323,3.184
2017-06-30,14957,0.83596,51.369,3.434,410,2.951
2017-07-31,15311,0.85479,52.714,3.443,362,3.769
2017-08-31,15788,0.88059,54.273,3.438,487,3.22
2017-09-30,16178,0.90132,55.591,3.436,392,3.322
2017-10-31,16504,0.91827,56.744,3.438,335,3.453
2017-11-30,16940,0.94223,58.315,3.442,438,3.492
2017-12-31,17280,0.95956,59.527,3.445,344,3.542
2018-01-31,17553,0.97474,60.486,3.446,285,3.486
2018-02-28,17898,0.99263,61.72,3.448,345,3.54
2018-03-31,18302,1.0146,63.104,3.448,391,3.346
2018-04-30,18621,1.03098,64.192,3.447,310,3.413
2018-05-31,18953,1.04796,65.517,3.457,334,3.945
2018-06-30,19209,1.06081,66.602,3.467,258,4.079
2018-07-31,19528,1.07693,68.051,3.485,327,4.542
2018-08-31,19902,1.09608,69.796,3.507,376,4.616
2018-09-30,20318,1.1179,71.763,3.532,407,4.748
2018-10-31,20714,1.13813,73.624,3.554,395,4.663
2018-11-30,21113,1.15814,75.503,3.576,412,4.618
2018-12-31,21476,1.17605,77.181,3.594,358,4.538
2019-01-31,21752,1.1909,78.395,3.604,286,4.23
2019-02-28,22047,1.20581,79.742,3.617,311,4.239
2019-03-31,22356,1.22185,81.349,3.639,383,4.359
2019-04-30,22672,1.23787,82.961,3.659,343,4.657
2019-05-31,23034,1.25624,84.743,3.679,385,4.51
2019-06-30,23276,1.26772,85.893,3.69,270,4.362
2019-07-31,23535,1.2804,87.141,3.703,289,4.458
2019-08-31,23821,1.29413,88.508,3.716,324,4.304
2019-09-30,24129,1.3091,90.078,3.733,288,4.635
2019-10-31,24469,1.32621,91.693,3.747,370,4.475
2019-11-30,24775,1.34086,93.216,3.762,322,4.846
2019-12-31,25028,1.35243,94.505,3.776,266,4.651
2020-01-31,25287,1.36619,95.74,3.786,281,4.59
2020-02-29,25592,1.38152,97.196,3.798,310,4.666
2020-03-31,25745,1.39792,97.883,3.802,238,4.668
2020-04-30,25722,1.3984,97.79,3.802,72,4.948
2020-05-31,26044,1.4133,99.362,3.815,342,4.744
2020-06-30,26390,1.43088,101.271,3.837,364,5.167
2020-07-31,26718,1.44615,103.021,3.856,351,5.564
2020-08-31,27097,1.46454,104.796,3.867,384,4.892
2020-09-30,27459,1.48215,106.574,3.881,396,4.806
2020-10-31,27864,1.50174,108.678,3.9,430,4.889
2020-11-30,28305,1.52294,110.807,3.915,454,4.686
2020-12-31,28717,1.54242,112.696,3.924,422,4.909
2021-01-31,28987,1.55684,114.038,3.934,281,4.915
2021-02-28,29335,1.57306,115.756,3.946,359,4.95
2021-03-31,29800,1.59551,118.028,3.961,466,4.756
2021-04-30,30242,1.61669,120.225,3.975,454,4.809
2021-05-31,30715,1.63657,122.836,3.999,469,5.227
2021-06-30,31219,1.66136,125.401,4.017,506,4.98
2021-07-31,31791,1.6898,128.189,4.032,582,4.717
2021-08-31,32171,1.70799,130.065,4.043,381,4.894
2021-09-30,32622,1.72982,132.542,4.063,457,5.37
2021-10-31,33215,1.76027,135.736,4.087,603,5.26
2021-11-30,34016,1.79826,140.651,4.135,803,6.017
2021-12-31,34590,1.82618,144.158,4.168,580,5.992
