year,site_code,poc_code,network_code,generator_code,fuel_code,generation_mwh,days_with_generation_rows
2024,KOE,KOE1101,TOPE,Kohira,Solar,52272.573,366
2024,EDG,EDG0331,HEDL,Rangitaiki,Solar,36530.02,306
2024,WAI,WAI0331,LODE,te_herenga_o_te_rā_solar_farm,SOL,30.355,40
2024,MTO,MTO0331,NPOW,papareireiā_solar_at_maungaturoto,SOL,0.0,86
2025,KOE,KOE1101,TOPE,Kohira,Solar,53515.479,365
2025,ASB,ASB0661,EASH,Lauriston,Solar,52594.628,184
2025,WAI,WAI0331,LODE,te_herenga_o_te_rā_solar_farm,SOL,51977.208,365
2025,EDG,EDG0331,HEDL,Rangitaiki,Solar,50206.662,365
2025,MTO,MTO0331,NPOW,papareireiā_solar_at_maungaturoto,SOL,1241.449,365
2025,KPU,KPU0661,POCO,pāmu_rā_ki_whitianga_solar_farm,SOL,0.347,61
2026,ASB,ASB0661,EASH,Lauriston,Solar,48537.026,243
2026,WAI,WAI0331,LODE,te_herenga_o_te_rā_solar_farm,SOL,39434.349,243
2026,KOE,KOE1101,TOPE,Kohira,Solar,31144.055,243
2026,EDG,EDG0331,HEDL,Rangitaiki,Solar,29615.413,243
2026,WHU,WHU1101,HENZ,tauhei_solar_farm,SOL,9866.367,123
2026,MTO,MTO0331,NPOW,papareireiā_solar_at_maungaturoto,SOL,9493.175,243
2026,KOE,KOE1101,TOPE,Pukenui,Solar,9085.653,153
2026,DVK,DVK0111,DSFL,dannevirke_solar_farm,SOL,3106.996,123
2026,KPU,KPU0661,POCO,pāmu_rā_ki_whitianga_solar_farm,SOL,40.778,243
2026,TMK,TMK0331,ALPE,clandeboye_solar_farm,SOL,0.0,17
2026,DVK,DVK0111,SCAN,dannevirke_solar_farm,SOL,0.0,123
2026,ISL,ISL0661,ORON,kōwhai_park_solar_farm,SOL,0.0,31
2026,WAI,WAI0331,HEDL,te_herenga_o_te_rā_solar_farm,SOL,0.0,196
