source_month,group,estimated_icps,capacity_mw,average_system_kw
2026-07-31,100_to_lt_250_kw,130.3,47.659997,365.701
2026-07-31,250_to_lt_1000_kw,38.5,43.767819,1136.5357
2026-07-31,25_to_lt_100_kw,972.5,90.439819,93.0009
2026-07-31,gte_1000_kw,44.7,278.739334,6233.8053
2026-07-31,larger_distributed_25_kw_to_lt_1_mw,1141.3,181.867635,159.3518
2026-07-31,lt_25_kw,89492.0,757.661031,8.4662
2026-07-31,small_lt_25_kw,89492.0,757.661031,8.4662
2026-07-31,utility_gte_1_mw,44.7,278.739334,6233.8053
2026-08-31,100_to_lt_250_kw,133.2,48.694364,365.5139
2026-08-31,250_to_lt_1000_kw,40.2,45.1445,1122.4348
2026-08-31,25_to_lt_100_kw,1003.0,92.980119,92.7053
2026-08-31,gte_1000_kw,44.9,279.622658,6234.253
2026-08-31,larger_distributed_25_kw_to_lt_1_mw,1176.4,186.818983,158.8048
2026-08-31,lt_25_kw,91081.7,772.878359,8.4855
2026-08-31,small_lt_25_kw,91081.7,772.878359,8.4855
2026-08-31,utility_gte_1_mw,44.9,279.622658,6234.253
