month_end,icp_count,icp_uptake_rate_pct,installed_capacity_mw,average_capacity_kw,new_installations,average_new_install_capacity_kw
2013-08-31,1415,0.07029,5.775,4.081,527,4.186
2013-09-30,1650,0.08199,6.589,3.994,224,3.41
2013-10-31,1821,0.09049,7.142,3.922,168,3.533
2013-11-30,2056,0.10209,8.026,3.904,237,3.726
2013-12-31,2238,0.11102,8.64,3.86,186,3.478
2014-01-31,2424,0.12015,9.362,3.862,185,3.655
2014-02-28,2699,0.13376,10.354,3.836,278,3.601
2014-03-31,2951,0.14614,11.509,3.9,257,4.54
2014-04-30,3153,0.156,12.36,3.92,204,3.89
2014-05-31,3394,0.16777,13.235,3.899,240,3.952
2014-06-30,3692,0.18233,14.328,3.881,300,3.696
2014-07-31,4007,0.19775,15.487,3.865,323,3.649
2014-08-31,4269,0.21045,16.605,3.89,260,4.251
2014-09-30,4543,0.2237,17.659,3.887,276,3.819
2014-10-31,4862,0.23918,19.157,3.94,320,4.719
2014-11-30,5199,0.25551,20.899,4.02,337,5.154
2014-12-31,5506,0.27023,22.096,4.013,307,3.829
2015-01-31,5761,0.28256,23.144,4.017,254,4.097
2015-02-28,6006,0.29436,24.153,4.021,249,3.966
2015-03-31,6287,0.30789,25.236,4.014,283,3.767
2015-04-30,6559,0.32088,26.226,3.998,273,3.64
2015-05-31,6824,0.33352,27.198,3.986,268,3.712
2015-06-30,7183,0.35077,28.578,3.979,358,3.774
2015-07-31,7608,0.37121,30.135,3.961,426,3.636
2015-08-31,7934,0.38675,31.562,3.978,325,4.375
2015-09-30,8354,0.4068,33.137,3.967,417,4.298
2015-10-31,8702,0.42327,34.229,3.934,346,3.706
2015-11-30,9087,0.44162,35.669,3.925,387,3.752
2015-12-31,9516,0.46186,37.489,3.94,431,4.241
2016-01-31,9775,0.47423,38.415,3.93,267,3.503
2016-02-29,10123,0.49068,39.996,3.951,353,4.631
2016-03-31,10457,0.50674,41.162,3.936,341,3.486
2016-04-30,10807,0.52313,42.403,3.924,351,3.532
2016-05-31,11179,0.54057,43.69,3.908,376,3.456
2016-06-30,11572,0.55925,45.115,3.899,393,3.476
2016-07-31,11926,0.57572,46.282,3.881,366,3.358
2016-08-31,12324,0.59439,47.708,3.871,400,3.52
2016-09-30,12712,0.61233,49.05,3.859,405,3.45
2016-10-31,13056,0.62826,50.609,3.876,344,4.488
2016-11-30,13441,0.64611,51.971,3.867,386,3.498
2016-12-31,13790,0.66179,53.322,3.867,351,3.775
2017-01-31,14038,0.67349,54.233,3.863,256,3.669
2017-02-28,14345,0.68736,55.304,3.855,310,3.554
2017-03-31,14706,0.70394,56.684,3.854,341,3.789
2017-04-30,15033,0.71907,57.857,3.849,338,3.58
2017-05-31,15376,0.73478,59.05,3.84,348,3.386
2017-06-30,15809,0.75469,60.971,3.857,438,4.39
2017-07-31,16194,0.77232,62.665,3.87,392,4.167
2017-08-31,16691,0.79527,64.438,3.861,506,3.51
2017-09-30,17098,0.81362,65.925,3.856,412,3.601
2017-10-31,17450,0.82936,67.632,3.876,364,4.855
2017-11-30,17921,0.85055,69.551,3.881,475,4.023
2017-12-31,18285,0.86654,71.056,3.886,373,4.105
2018-01-31,18578,0.88028,72.377,3.896,306,4.384
2018-02-28,18939,0.89644,73.809,3.897,368,3.924
2018-03-31,19370,0.91577,75.427,3.894,417,3.709
2018-04-30,19698,0.93037,76.701,3.894,330,3.841
2018-05-31,20050,0.94582,78.278,3.904,355,4.454
2018-06-30,20328,0.95789,79.71,3.921,280,5.006
2018-07-31,20666,0.97264,81.411,3.939,350,4.931
2018-08-31,21062,0.99012,82.924,3.937,404,4.912
2018-09-30,21496,1.0096,85.197,3.963,427,5.247
2018-10-31,21920,1.02861,87.743,4.003,429,5.901
2018-11-30,22352,1.0475,90.239,4.037,450,5.57
2018-12-31,22724,1.06347,92.05,4.051,387,4.964
2019-01-31,23016,1.07689,93.467,4.061,306,4.776
2019-02-28,23334,1.0907,95.158,4.078,340,4.898
2019-03-31,23681,1.10536,97.341,4.11,416,5.387
2019-04-30,24025,1.12033,99.53,4.143,371,5.848
2019-05-31,24417,1.13735,102.2,4.186,419,6.288
2019-06-30,24678,1.14822,103.833,4.207,295,5.758
2019-07-31,24974,1.16075,105.774,4.235,332,6.028
2019-08-31,25284,1.17362,107.497,4.252,355,5.294
2019-09-30,25605,1.18711,109.394,4.272,323,5.631
2019-10-31,25975,1.20305,111.669,4.299,407,5.759
2019-11-30,26318,1.21696,113.738,4.322,359,5.959
2019-12-31,26609,1.22847,115.915,4.356,303,6.983
2020-01-31,26900,1.24166,117.747,4.377,318,5.847
2020-02-29,27238,1.25593,119.752,4.396,352,5.839
2020-03-31,27503,1.26615,121.408,4.414,269,6.099
2020-04-30,27585,1.26963,124.754,4.523,85,12.203
2020-05-31,27935,1.28353,126.775,4.538,377,5.543
2020-06-30,28313,1.30004,129.311,4.567,401,6.27
2020-07-31,28677,1.31469,132.148,4.608,388,7.33
2020-08-31,29095,1.33183,134.996,4.64,419,7.067
2020-09-30,29512,1.34919,137.79,4.669,436,6.425
2020-10-31,29953,1.36738,141.222,4.715,472,7.214
2020-11-30,30427,1.38677,143.923,4.73,495,5.544
2020-12-31,30881,1.40506,146.983,4.76,468,6.704
2021-01-31,31181,1.41828,150.756,4.835,308,12.178
2021-02-28,31550,1.43325,153.258,4.858,387,6.527
2021-03-31,32046,1.45387,156.55,4.885,508,6.399
2021-04-30,32526,1.47354,159.579,4.906,500,6.038
2021-05-31,33027,1.49389,164.043,4.967,518,8.64
2021-06-30,33567,1.51652,169.374,5.046,553,9.626
2021-07-31,34175,1.54201,172.963,5.061,618,5.672
2021-08-31,34573,1.55853,175.271,5.07,401,5.751
2021-09-30,35058,1.57825,178.306,5.086,496,6.107
2021-10-31,35691,1.60425,182.279,5.107,641,6.087
2021-11-30,36537,1.63995,188.267,5.153,860,6.792
2021-12-31,37161,1.6656,193.27,5.201,636,7.868
2022-01-31,37723,1.69108,197.906,5.246,580,7.833
2022-02-28,38403,1.7196,203.247,5.292,692,7.735
2022-03-31,39195,1.75303,209.567,5.347,805,7.858
2022-04-30,39862,1.78049,214.95,5.392,684,7.549
2022-05-31,40684,1.81419,220.837,5.428,837,6.986
2022-06-30,41386,1.84295,225.713,5.454,705,6.796
2022-07-31,42086,1.87153,231.083,5.491,717,7.561
2022-08-31,42987,1.90897,238.244,5.542,919,7.752
2022-09-30,43767,1.94027,245.266,5.604,788,8.913
2022-10-31,44567,1.97287,250.497,5.621,833,7.308
